Training with a single process on 1 GPUs.
Model ViTAE_basic_Small created, param count: 24032136
Model ViTAE_basic_Small created, trainable param count: 24009096
Data processing configuration for current model + dataset:
	input_size: (3, 224, 224)
Train: 17 [5800/10009 ( 58%)]  Loss:  4.605264 (4.1078)  Time: 0.658s,  194.46/s  (1.079s,  118.66/s)  LR: 2.481e-04  Data: 0.015 (0.415)
Train: 17 [5850/10009 ( 58%)]  Loss:  3.719393 (4.1075)  Time: 0.654s,  195.58/s  (1.079s,  118.65/s)  LR: 2.481e-04  Data: 0.014 (0.415)
Train: 17 [5900/10009 ( 59%)]  Loss:  4.395403 (4.1074)  Time: 3.242s,   39.48/s  (1.079s,  118.66/s)  LR: 2.481e-04  Data: 2.583 (0.415)
Train: 17 [5950/10009 ( 59%)]  Loss:  3.186757 (4.1075)  Time: 0.679s,  188.55/s  (1.079s,  118.59/s)  LR: 2.481e-04  Data: 0.018 (0.416)
Train: 17 [6000/10009 ( 60%)]  Loss:  3.547961 (4.1077)  Time: 0.669s,  191.21/s  (1.079s,  118.58/s)  LR: 2.481e-04  Data: 0.014 (0.416)
Train: 17 [6050/10009 ( 60%)]  Loss:  3.216931 (4.1081)  Time: 0.661s,  193.63/s  (1.079s,  118.59/s)  LR: 2.481e-04  Data: 0.015 (0.416)
Train: 17 [6100/10009 ( 61%)]  Loss:  3.601970 (4.1081)  Time: 0.679s,  188.39/s  (1.081s,  118.45/s)  LR: 2.481e-04  Data: 0.017 (0.417)
Train: 17 [6150/10009 ( 61%)]  Loss:  4.498839 (4.1075)  Time: 0.655s,  195.30/s  (1.081s,  118.43/s)  LR: 2.481e-04  Data: 0.013 (0.417)
Train: 17 [6200/10009 ( 62%)]  Loss:  4.287300 (4.1072)  Time: 0.678s,  188.78/s  (1.081s,  118.37/s)  LR: 2.481e-04  Data: 0.018 (0.418)
Train: 17 [6250/10009 ( 62%)]  Loss:  4.289411 (4.1079)  Time: 0.679s,  188.59/s  (1.082s,  118.27/s)  LR: 2.481e-04  Data: 0.017 (0.419)
Train: 17 [6300/10009 ( 63%)]  Loss:  4.794357 (4.1073)  Time: 0.676s,  189.29/s  (1.084s,  118.03/s)  LR: 2.481e-04  Data: 0.017 (0.421)
Train: 17 [6350/10009 ( 63%)]  Loss:  3.018154 (4.1068)  Time: 0.676s,  189.31/s  (1.087s,  117.74/s)  LR: 2.481e-04  Data: 0.018 (0.424)
Train: 17 [6400/10009 ( 64%)]  Loss:  4.927631 (4.1062)  Time: 0.676s,  189.31/s  (1.090s,  117.47/s)  LR: 2.481e-04  Data: 0.018 (0.426)
Train: 17 [6450/10009 ( 64%)]  Loss:  3.994317 (4.1061)  Time: 0.659s,  194.11/s  (1.091s,  117.34/s)  LR: 2.481e-04  Data: 0.015 (0.428)
Train: 17 [6500/10009 ( 65%)]  Loss:  3.030607 (4.1064)  Time: 0.673s,  190.21/s  (1.093s,  117.13/s)  LR: 2.481e-04  Data: 0.017 (0.430)
Train: 17 [6550/10009 ( 65%)]  Loss:  4.526467 (4.1064)  Time: 0.676s,  189.22/s  (1.094s,  116.96/s)  LR: 2.481e-04  Data: 0.018 (0.431)
Train: 17 [6600/10009 ( 66%)]  Loss:  3.088110 (4.1069)  Time: 0.676s,  189.31/s  (1.096s,  116.76/s)  LR: 2.481e-04  Data: 0.019 (0.433)
Train: 17 [6650/10009 ( 66%)]  Loss:  3.829475 (4.1069)  Time: 0.660s,  193.87/s  (1.098s,  116.55/s)  LR: 2.481e-04  Data: 0.015 (0.435)
Train: 17 [6700/10009 ( 67%)]  Loss:  3.708200 (4.1063)  Time: 0.673s,  190.23/s  (1.100s,  116.32/s)  LR: 2.481e-04  Data: 0.017 (0.437)
Train: 17 [6750/10009 ( 67%)]  Loss:  3.031200 (4.1061)  Time: 0.675s,  189.73/s  (1.101s,  116.22/s)  LR: 2.481e-04  Data: 0.018 (0.438)
Train: 17 [6800/10009 ( 68%)]  Loss:  4.506950 (4.1058)  Time: 0.676s,  189.43/s  (1.102s,  116.20/s)  LR: 2.481e-04  Data: 0.017 (0.439)
Train: 17 [6850/10009 ( 68%)]  Loss:  3.609184 (4.1049)  Time: 0.659s,  194.14/s  (1.101s,  116.21/s)  LR: 2.481e-04  Data: 0.015 (0.438)
Train: 17 [6900/10009 ( 69%)]  Loss:  3.823651 (4.1063)  Time: 1.785s,   71.71/s  (1.101s,  116.21/s)  LR: 2.481e-04  Data: 1.123 (0.438)
Train: 17 [6950/10009 ( 69%)]  Loss:  4.523705 (4.1059)  Time: 2.443s,   52.38/s  (1.101s,  116.26/s)  LR: 2.481e-04  Data: 1.777 (0.438)
Train: 17 [7000/10009 ( 70%)]  Loss:  4.381253 (4.1063)  Time: 0.658s,  194.52/s  (1.099s,  116.43/s)  LR: 2.481e-04  Data: 0.015 (0.436)
Train: 17 [7050/10009 ( 70%)]  Loss:  3.691507 (4.1058)  Time: 0.655s,  195.40/s  (1.098s,  116.55/s)  LR: 2.481e-04  Data: 0.015 (0.435)
Train: 17 [7100/10009 ( 71%)]  Loss:  2.971619 (4.1054)  Time: 1.509s,   84.84/s  (1.097s,  116.66/s)  LR: 2.481e-04  Data: 0.847 (0.434)
Train: 17 [7150/10009 ( 71%)]  Loss:  4.111895 (4.1056)  Time: 2.175s,   58.84/s  (1.097s,  116.69/s)  LR: 2.481e-04  Data: 1.497 (0.434)
Train: 17 [7200/10009 ( 72%)]  Loss:  3.914446 (4.1049)  Time: 0.695s,  184.26/s  (1.097s,  116.67/s)  LR: 2.481e-04  Data: 0.020 (0.434)
Train: 17 [7250/10009 ( 72%)]  Loss:  4.011878 (4.1041)  Time: 0.655s,  195.30/s  (1.097s,  116.67/s)  LR: 2.481e-04  Data: 0.014 (0.434)
Train: 17 [7300/10009 ( 73%)]  Loss:  4.370534 (4.1041)  Time: 0.680s,  188.34/s  (1.097s,  116.66/s)  LR: 2.481e-04  Data: 0.017 (0.434)
Train: 17 [7350/10009 ( 73%)]  Loss:  4.043426 (4.1043)  Time: 0.692s,  184.87/s  (1.097s,  116.67/s)  LR: 2.481e-04  Data: 0.017 (0.434)
Train: 17 [7400/10009 ( 74%)]  Loss:  4.469289 (4.1037)  Time: 0.668s,  191.58/s  (1.097s,  116.68/s)  LR: 2.481e-04  Data: 0.014 (0.434)
Train: 17 [7450/10009 ( 74%)]  Loss:  3.585207 (4.1044)  Time: 0.682s,  187.73/s  (1.096s,  116.79/s)  LR: 2.481e-04  Data: 0.019 (0.433)
Train: 17 [7500/10009 ( 75%)]  Loss:  3.906394 (4.1043)  Time: 0.661s,  193.54/s  (1.096s,  116.76/s)  LR: 2.481e-04  Data: 0.015 (0.433)
Train: 17 [7550/10009 ( 75%)]  Loss:  3.354731 (4.1037)  Time: 0.671s,  190.65/s  (1.096s,  116.82/s)  LR: 2.481e-04  Data: 0.019 (0.433)
Train: 17 [7600/10009 ( 76%)]  Loss:  4.882326 (4.1028)  Time: 0.662s,  193.46/s  (1.095s,  116.89/s)  LR: 2.481e-04  Data: 0.013 (0.432)
Train: 17 [7650/10009 ( 76%)]  Loss:  3.166244 (4.1029)  Time: 0.662s,  193.40/s  (1.094s,  116.95/s)  LR: 2.481e-04  Data: 0.018 (0.432)
Train: 17 [7700/10009 ( 77%)]  Loss:  4.274808 (4.1033)  Time: 0.678s,  188.91/s  (1.094s,  117.00/s)  LR: 2.481e-04  Data: 0.018 (0.431)
Train: 17 [7750/10009 ( 77%)]  Loss:  3.543157 (4.1032)  Time: 2.772s,   46.18/s  (1.094s,  117.04/s)  LR: 2.481e-04  Data: 2.107 (0.431)
Train: 17 [7800/10009 ( 78%)]  Loss:  3.522462 (4.1027)  Time: 0.680s,  188.16/s  (1.093s,  117.10/s)  LR: 2.481e-04  Data: 0.017 (0.430)
Train: 17 [7850/10009 ( 78%)]  Loss:  4.640477 (4.1030)  Time: 0.657s,  194.94/s  (1.093s,  117.16/s)  LR: 2.481e-04  Data: 0.013 (0.430)
Train: 17 [7900/10009 ( 79%)]  Loss:  4.459750 (4.1035)  Time: 0.680s,  188.15/s  (1.092s,  117.21/s)  LR: 2.481e-04  Data: 0.017 (0.429)
Train: 17 [7950/10009 ( 79%)]  Loss:  2.933154 (4.1037)  Time: 0.665s,  192.35/s  (1.092s,  117.24/s)  LR: 2.481e-04  Data: 0.022 (0.429)
Train: 17 [8000/10009 ( 80%)]  Loss:  3.997419 (4.1026)  Time: 0.678s,  188.89/s  (1.092s,  117.21/s)  LR: 2.481e-04  Data: 0.017 (0.429)
Train: 17 [8050/10009 ( 80%)]  Loss:  4.623569 (4.1029)  Time: 0.669s,  191.39/s  (1.092s,  117.19/s)  LR: 2.481e-04  Data: 0.015 (0.430)
Train: 17 [8100/10009 ( 81%)]  Loss:  4.969895 (4.1037)  Time: 0.679s,  188.40/s  (1.092s,  117.27/s)  LR: 2.481e-04  Data: 0.017 (0.429)
Train: 17 [8150/10009 ( 81%)]  Loss:  3.335631 (4.1041)  Time: 0.652s,  196.34/s  (1.092s,  117.23/s)  LR: 2.481e-04  Data: 0.016 (0.429)
Train: 17 [8200/10009 ( 82%)]  Loss:  4.884136 (4.1050)  Time: 0.673s,  190.16/s  (1.092s,  117.20/s)  LR: 2.481e-04  Data: 0.017 (0.429)
Train: 17 [8250/10009 ( 82%)]  Loss:  4.456602 (4.1053)  Time: 0.675s,  189.56/s  (1.093s,  117.09/s)  LR: 2.481e-04  Data: 0.018 (0.431)
Train: 17 [8300/10009 ( 83%)]  Loss:  3.882756 (4.1060)  Time: 0.677s,  189.14/s  (1.092s,  117.16/s)  LR: 2.481e-04  Data: 0.017 (0.430)
Train: 17 [8350/10009 ( 83%)]  Loss:  4.106696 (4.1064)  Time: 0.681s,  187.90/s  (1.093s,  117.12/s)  LR: 2.481e-04  Data: 0.017 (0.430)
Train: 17 [8400/10009 ( 84%)]  Loss:  4.578424 (4.1066)  Time: 0.675s,  189.53/s  (1.092s,  117.18/s)  LR: 2.481e-04  Data: 0.016 (0.430)
Train: 17 [8450/10009 ( 84%)]  Loss:  3.766803 (4.1074)  Time: 0.678s,  188.66/s  (1.092s,  117.21/s)  LR: 2.481e-04  Data: 0.017 (0.429)
Train: 17 [8500/10009 ( 85%)]  Loss:  4.276511 (4.1072)  Time: 0.677s,  189.09/s  (1.092s,  117.23/s)  LR: 2.481e-04  Data: 0.016 (0.429)
Train: 17 [8550/10009 ( 85%)]  Loss:  4.371299 (4.1063)  Time: 0.679s,  188.47/s  (1.091s,  117.28/s)  LR: 2.481e-04  Data: 0.016 (0.429)
Train: 17 [8600/10009 ( 86%)]  Loss:  3.312603 (4.1067)  Time: 0.674s,  189.89/s  (1.091s,  117.33/s)  LR: 2.481e-04  Data: 0.016 (0.428)
Train: 17 [8650/10009 ( 86%)]  Loss:  3.734038 (4.1067)  Time: 0.677s,  189.11/s  (1.091s,  117.30/s)  LR: 2.481e-04  Data: 0.016 (0.429)
Train: 17 [8700/10009 ( 87%)]  Loss:  3.162483 (4.1067)  Time: 0.717s,  178.55/s  (1.091s,  117.37/s)  LR: 2.481e-04  Data: 0.016 (0.428)
Train: 17 [8750/10009 ( 87%)]  Loss:  4.602623 (4.1068)  Time: 0.681s,  188.06/s  (1.090s,  117.44/s)  LR: 2.481e-04  Data: 0.017 (0.427)
Train: 17 [8800/10009 ( 88%)]  Loss:  3.283953 (4.1056)  Time: 0.690s,  185.51/s  (1.090s,  117.48/s)  LR: 2.481e-04  Data: 0.017 (0.427)
Train: 17 [8850/10009 ( 88%)]  Loss:  4.677116 (4.1052)  Time: 0.678s,  188.77/s  (1.090s,  117.46/s)  LR: 2.481e-04  Data: 0.017 (0.427)
Train: 17 [8900/10009 ( 89%)]  Loss:  2.936304 (4.1057)  Time: 0.662s,  193.40/s  (1.090s,  117.46/s)  LR: 2.481e-04  Data: 0.016 (0.427)
Train: 17 [8950/10009 ( 89%)]  Loss:  4.420456 (4.1056)  Time: 0.664s,  192.68/s  (1.089s,  117.49/s)  LR: 2.481e-04  Data: 0.014 (0.427)
Train: 17 [9000/10009 ( 90%)]  Loss:  3.524531 (4.1056)  Time: 0.678s,  188.67/s  (1.089s,  117.51/s)  LR: 2.481e-04  Data: 0.017 (0.427)
Train: 17 [9050/10009 ( 90%)]  Loss:  3.011748 (4.1055)  Time: 0.677s,  188.96/s  (1.089s,  117.51/s)  LR: 2.481e-04  Data: 0.016 (0.427)
Train: 17 [9100/10009 ( 91%)]  Loss:  3.800191 (4.1051)  Time: 0.657s,  194.76/s  (1.089s,  117.55/s)  LR: 2.481e-04  Data: 0.015 (0.426)
Train: 17 [9150/10009 ( 91%)]  Loss:  3.303798 (4.1044)  Time: 0.656s,  195.03/s  (1.089s,  117.57/s)  LR: 2.481e-04  Data: 0.013 (0.426)
Train: 17 [9200/10009 ( 92%)]  Loss:  4.350638 (4.1048)  Time: 0.677s,  189.05/s  (1.088s,  117.63/s)  LR: 2.481e-04  Data: 0.017 (0.426)
Train: 17 [9250/10009 ( 92%)]  Loss:  4.259109 (4.1040)  Time: 0.680s,  188.13/s  (1.088s,  117.66/s)  LR: 2.481e-04  Data: 0.017 (0.426)
Train: 17 [9300/10009 ( 93%)]  Loss:  3.800007 (4.1037)  Time: 0.677s,  189.13/s  (1.087s,  117.76/s)  LR: 2.481e-04  Data: 0.017 (0.425)
Train: 17 [9350/10009 ( 93%)]  Loss:  4.580431 (4.1040)  Time: 0.676s,  189.43/s  (1.086s,  117.86/s)  LR: 2.481e-04  Data: 0.018 (0.424)
Train: 17 [9400/10009 ( 94%)]  Loss:  4.404352 (4.1043)  Time: 0.660s,  194.04/s  (1.085s,  117.99/s)  LR: 2.481e-04  Data: 0.017 (0.423)
Train: 17 [9450/10009 ( 94%)]  Loss:  4.754433 (4.1036)  Time: 0.683s,  187.36/s  (1.084s,  118.06/s)  LR: 2.481e-04  Data: 0.016 (0.422)
Train: 17 [9500/10009 ( 95%)]  Loss:  4.324522 (4.1037)  Time: 0.653s,  196.15/s  (1.083s,  118.17/s)  LR: 2.481e-04  Data: 0.013 (0.421)
Train: 17 [9550/10009 ( 95%)]  Loss:  4.621325 (4.1035)  Time: 0.680s,  188.14/s  (1.083s,  118.21/s)  LR: 2.481e-04  Data: 0.017 (0.421)
Train: 17 [9600/10009 ( 96%)]  Loss:  4.658273 (4.1032)  Time: 0.661s,  193.51/s  (1.082s,  118.27/s)  LR: 2.481e-04  Data: 0.015 (0.420)
Train: 17 [9650/10009 ( 96%)]  Loss:  4.719983 (4.1033)  Time: 0.671s,  190.88/s  (1.082s,  118.29/s)  LR: 2.481e-04  Data: 0.016 (0.420)
Train: 17 [9700/10009 ( 97%)]  Loss:  3.482757 (4.1033)  Time: 0.670s,  191.14/s  (1.082s,  118.28/s)  LR: 2.481e-04  Data: 0.016 (0.420)
Train: 17 [9750/10009 ( 97%)]  Loss:  3.004395 (4.1036)  Time: 0.652s,  196.26/s  (1.082s,  118.27/s)  LR: 2.481e-04  Data: 0.016 (0.420)
Train: 17 [9800/10009 ( 98%)]  Loss:  4.565105 (4.1029)  Time: 0.675s,  189.66/s  (1.083s,  118.22/s)  LR: 2.481e-04  Data: 0.016 (0.421)
Train: 17 [9850/10009 ( 98%)]  Loss:  4.932894 (4.1034)  Time: 0.675s,  189.64/s  (1.083s,  118.23/s)  LR: 2.481e-04  Data: 0.016 (0.420)
Train: 17 [9900/10009 ( 99%)]  Loss:  4.727196 (4.1042)  Time: 0.680s,  188.19/s  (1.083s,  118.23/s)  LR: 2.481e-04  Data: 0.017 (0.420)
Train: 17 [9950/10009 ( 99%)]  Loss:  3.311013 (4.1038)  Time: 0.679s,  188.42/s  (1.083s,  118.23/s)  LR: 2.481e-04  Data: 0.017 (0.420)
Train: 17 [10000/10009 (100%)]  Loss:  3.307079 (4.1034)  Time: 0.677s,  189.03/s  (1.083s,  118.23/s)  LR: 2.481e-04  Data: 0.016 (0.420)
/home/user/conda/lib/python3.8/site-packages/torchvision/transforms/functional.py:404: UserWarning: Argument interpolation should be of type InterpolationMode instead of int. Please, use InterpolationMode enum.
  warnings.warn(
/home/user/conda/lib/python3.8/site-packages/torchvision/transforms/functional.py:404: UserWarning: Argument interpolation should be of type InterpolationMode instead of int. Please, use InterpolationMode enum.
  warnings.warn(
/home/user/conda/lib/python3.8/site-packages/torchvision/transforms/functional.py:404: UserWarning: Argument interpolation should be of type InterpolationMode instead of int. Please, use InterpolationMode enum.
  warnings.warn(
/home/user/conda/lib/python3.8/site-packages/torchvision/transforms/functional.py:404: UserWarning: Argument interpolation should be of type InterpolationMode instead of int. Please, use InterpolationMode enum.
  warnings.warn(
/home/user/conda/lib/python3.8/site-packages/torchvision/transforms/functional.py:404: UserWarning: Argument interpolation should be of type InterpolationMode instead of int. Please, use InterpolationMode enum.
  warnings.warn(
/home/user/conda/lib/python3.8/site-packages/torchvision/transforms/functional.py:404: UserWarning: Argument interpolation should be of type InterpolationMode instead of int. Please, use InterpolationMode enum.
  warnings.warn(
/home/user/conda/lib/python3.8/site-packages/torchvision/transforms/functional.py:404: UserWarning: Argument interpolation should be of type InterpolationMode instead of int. Please, use InterpolationMode enum.
  warnings.warn(
/home/user/conda/lib/python3.8/site-packages/torchvision/transforms/functional.py:404: UserWarning: Argument interpolation should be of type InterpolationMode instead of int. Please, use InterpolationMode enum.
  warnings.warn(
Train: 17 [10008/10009 (100%)]  Loss:  4.301985 (4.1033)  Time: 1.179s,  108.52/s  (1.083s,  118.24/s)  LR: 2.481e-04  Data: 0.519 (0.420)
Test: [   0/390]  Time: 12.251 (12.251)  Loss:  0.9090 (0.9090)  Acc@1: 85.1562 (85.1562)  Acc@5: 94.5312 (94.5312)
Test: [  50/390]  Time: 0.226 (1.328)  Loss:  0.7081 (1.2491)  Acc@1: 89.8438 (74.5251)  Acc@5: 95.3125 (91.7433)
Test: [ 100/390]  Time: 0.224 (1.154)  Loss:  1.2145 (1.2683)  Acc@1: 75.0000 (72.7027)  Acc@5: 92.9688 (92.3035)
Test: [ 150/390]  Time: 0.224 (1.081)  Loss:  1.1148 (1.2430)  Acc@1: 71.0938 (73.3806)  Acc@5: 96.0938 (92.7463)
Test: [ 200/390]  Time: 0.225 (1.066)  Loss:  1.6516 (1.3916)  Acc@1: 57.8125 (70.3475)  Acc@5: 89.8438 (90.5278)
Test: [ 250/390]  Time: 3.318 (1.067)  Loss:  1.3971 (1.4757)  Acc@1: 72.6562 (68.6317)  Acc@5: 89.0625 (89.2991)
Test: [ 300/390]  Time: 0.230 (1.063)  Loss:  1.5178 (1.5400)  Acc@1: 72.6562 (67.4419)  Acc@5: 83.5938 (88.2761)
Test: [ 350/390]  Time: 0.227 (1.076)  Loss:  1.5979 (1.5941)  Acc@1: 68.7500 (66.3395)  Acc@5: 82.8125 (87.5022)
Test: [ 390/390]  Time: 0.520 (1.086)  Loss:  2.3230 (1.5879)  Acc@1: 36.2500 (66.4800)  Acc@5: 81.2500 (87.6020)
Test (EMA): [   0/390]  Time: 10.902 (10.902)  Loss:  6.9458 (6.9458)  Acc@1:  0.0000 ( 0.0000)  Acc@5:  1.5625 ( 1.5625)
Test (EMA): [  50/390]  Time: 0.228 (1.217)  Loss:  7.0564 (6.9446)  Acc@1:  0.0000 ( 0.0000)  Acc@5:  0.0000 ( 0.2757)
Test (EMA): [ 100/390]  Time: 0.223 (1.124)  Loss:  6.7515 (6.9446)  Acc@1:  0.0000 ( 0.1160)  Acc@5:  0.0000 ( 0.7194)
Test (EMA): [ 150/390]  Time: 0.226 (1.055)  Loss:  7.0023 (6.9393)  Acc@1:  0.0000 ( 0.0776)  Acc@5:  0.0000 ( 0.5639)
Test (EMA): [ 200/390]  Time: 0.221 (1.045)  Loss:  6.7245 (6.9381)  Acc@1:  1.5625 ( 0.0700)  Acc@5:  7.0312 ( 0.5286)
Test (EMA): [ 250/390]  Time: 4.950 (1.065)  Loss:  6.9717 (6.9377)  Acc@1:  0.0000 ( 0.0872)  Acc@5:  0.0000 ( 0.5852)
Test (EMA): [ 300/390]  Time: 0.228 (1.064)  Loss:  6.7808 (6.9495)  Acc@1:  0.0000 ( 0.0753)  Acc@5:  0.0000 ( 0.5217)
Test (EMA): [ 350/390]  Time: 0.227 (1.074)  Loss:  7.2505 (6.9487)  Acc@1:  0.0000 ( 0.0913)  Acc@5:  0.0000 ( 0.6099)
Test (EMA): [ 390/390]  Time: 0.559 (1.062)  Loss:  6.6281 (6.9489)  Acc@1:  0.0000 ( 0.0820)  Acc@5:  1.2500 ( 0.5620)
Train: 18 [   0/10009 (  0%)]  Loss:  4.292880 (4.2929)  Time: 11.572s,   11.06/s  (11.572s,   11.06/s)  LR: 2.479e-04  Data: 10.862 (10.862)
Train: 18 [  50/10009 (  0%)]  Loss:  3.657179 (4.0451)  Time: 1.505s,   85.02/s  (1.271s,  100.73/s)  LR: 2.479e-04  Data: 0.845 (0.612)
Train: 18 [ 100/10009 (  1%)]  Loss:  3.784864 (4.0822)  Time: 0.679s,  188.50/s  (1.169s,  109.45/s)  LR: 2.479e-04  Data: 0.017 (0.509)
Train: 18 [ 150/10009 (  1%)]  Loss:  3.738484 (4.0978)  Time: 0.683s,  187.44/s  (1.157s,  110.67/s)  LR: 2.479e-04  Data: 0.018 (0.494)
Train: 18 [ 200/10009 (  2%)]  Loss:  3.412864 (4.1050)  Time: 0.675s,  189.75/s  (1.160s,  110.33/s)  LR: 2.479e-04  Data: 0.016 (0.495)
Train: 18 [ 250/10009 (  2%)]  Loss:  4.705801 (4.1196)  Time: 0.700s,  182.83/s  (1.151s,  111.24/s)  LR: 2.479e-04  Data: 0.020 (0.484)
Train: 18 [ 300/10009 (  3%)]  Loss:  4.367341 (4.1279)  Time: 0.735s,  174.20/s  (1.155s,  110.82/s)  LR: 2.479e-04  Data: 0.015 (0.488)
Train: 18 [ 350/10009 (  3%)]  Loss:  4.152890 (4.1239)  Time: 0.711s,  180.01/s  (1.146s,  111.69/s)  LR: 2.479e-04  Data: 0.018 (0.479)
Train: 18 [ 400/10009 (  4%)]  Loss:  3.542480 (4.1315)  Time: 2.377s,   53.85/s  (1.157s,  110.65/s)  LR: 2.479e-04  Data: 1.715 (0.489)
Train: 18 [ 450/10009 (  4%)]  Loss:  4.186481 (4.1379)  Time: 0.687s,  186.40/s  (1.162s,  110.15/s)  LR: 2.479e-04  Data: 0.019 (0.493)
Train: 18 [ 500/10009 (  5%)]  Loss:  3.641445 (4.1328)  Time: 0.667s,  191.84/s  (1.164s,  110.01/s)  LR: 2.479e-04  Data: 0.022 (0.495)
Train: 18 [ 550/10009 (  5%)]  Loss:  4.475011 (4.1361)  Time: 0.682s,  187.56/s  (1.171s,  109.29/s)  LR: 2.479e-04  Data: 0.019 (0.502)
Train: 18 [ 600/10009 (  6%)]  Loss:  4.228947 (4.1404)  Time: 0.895s,  143.02/s  (1.176s,  108.81/s)  LR: 2.479e-04  Data: 0.232 (0.508)
Train: 18 [ 650/10009 (  6%)]  Loss:  3.983398 (4.1371)  Time: 0.677s,  188.96/s  (1.169s,  109.47/s)  LR: 2.479e-04  Data: 0.018 (0.500)
Train: 18 [ 700/10009 (  7%)]  Loss:  3.457625 (4.1374)  Time: 0.684s,  187.19/s  (1.169s,  109.48/s)  LR: 2.479e-04  Data: 0.020 (0.500)
Train: 18 [ 750/10009 (  7%)]  Loss:  4.844387 (4.1410)  Time: 0.693s,  184.83/s  (1.168s,  109.61/s)  LR: 2.479e-04  Data: 0.027 (0.498)
Train: 18 [ 800/10009 (  8%)]  Loss:  2.941009 (4.1345)  Time: 2.019s,   63.39/s  (1.167s,  109.69/s)  LR: 2.479e-04  Data: 1.299 (0.497)
Train: 18 [ 850/10009 (  8%)]  Loss:  3.908137 (4.1301)  Time: 0.675s,  189.71/s  (1.167s,  109.68/s)  LR: 2.479e-04  Data: 0.018 (0.497)
Train: 18 [ 900/10009 (  9%)]  Loss:  4.120790 (4.1300)  Time: 0.680s,  188.35/s  (1.161s,  110.29/s)  LR: 2.479e-04  Data: 0.018 (0.490)
Train: 18 [ 950/10009 (  9%)]  Loss:  4.687056 (4.1176)  Time: 0.679s,  188.48/s  (1.158s,  110.55/s)  LR: 2.479e-04  Data: 0.022 (0.487)
Train: 18 [1000/10009 ( 10%)]  Loss:  4.740080 (4.1083)  Time: 0.747s,  171.29/s  (1.160s,  110.34/s)  LR: 2.479e-04  Data: 0.024 (0.490)
Train: 18 [1050/10009 ( 10%)]  Loss:  4.852003 (4.1061)  Time: 0.677s,  189.20/s  (1.162s,  110.15/s)  LR: 2.479e-04  Data: 0.018 (0.492)
Train: 18 [1100/10009 ( 11%)]  Loss:  4.301541 (4.1018)  Time: 0.679s,  188.51/s  (1.163s,  110.08/s)  LR: 2.479e-04  Data: 0.018 (0.493)
Train: 18 [1150/10009 ( 11%)]  Loss:  4.402290 (4.1064)  Time: 0.659s,  194.24/s  (1.160s,  110.39/s)  LR: 2.479e-04  Data: 0.016 (0.489)
Train: 18 [1200/10009 ( 12%)]  Loss:  4.375254 (4.1063)  Time: 0.744s,  172.01/s  (1.155s,  110.78/s)  LR: 2.479e-04  Data: 0.019 (0.485)
Train: 18 [1250/10009 ( 12%)]  Loss:  4.548398 (4.1108)  Time: 0.679s,  188.65/s  (1.154s,  110.93/s)  LR: 2.479e-04  Data: 0.019 (0.484)
Train: 18 [1300/10009 ( 13%)]  Loss:  3.928827 (4.1005)  Time: 0.704s,  181.71/s  (1.151s,  111.17/s)  LR: 2.479e-04  Data: 0.019 (0.482)
Train: 18 [1350/10009 ( 13%)]  Loss:  4.856819 (4.0909)  Time: 0.679s,  188.48/s  (1.150s,  111.27/s)  LR: 2.479e-04  Data: 0.020 (0.481)
Train: 18 [1400/10009 ( 14%)]  Loss:  3.841825 (4.0899)  Time: 0.697s,  183.55/s  (1.146s,  111.69/s)  LR: 2.479e-04  Data: 0.030 (0.476)
Train: 18 [1450/10009 ( 14%)]  Loss:  2.999200 (4.0866)  Time: 0.675s,  189.74/s  (1.143s,  112.02/s)  LR: 2.479e-04  Data: 0.016 (0.473)
Train: 18 [1500/10009 ( 15%)]  Loss:  3.342556 (4.0800)  Time: 0.686s,  186.55/s  (1.138s,  112.52/s)  LR: 2.479e-04  Data: 0.020 (0.468)
Train: 18 [1550/10009 ( 15%)]  Loss:  3.663399 (4.0798)  Time: 0.709s,  180.52/s  (1.135s,  112.77/s)  LR: 2.479e-04  Data: 0.024 (0.465)
Train: 18 [1600/10009 ( 16%)]  Loss:  3.502762 (4.0787)  Time: 0.681s,  188.00/s  (1.136s,  112.65/s)  LR: 2.479e-04  Data: 0.019 (0.467)
Train: 18 [1650/10009 ( 16%)]  Loss:  4.127048 (4.0777)  Time: 0.679s,  188.46/s  (1.139s,  112.42/s)  LR: 2.479e-04  Data: 0.019 (0.469)
Train: 18 [1700/10009 ( 17%)]  Loss:  4.436502 (4.0760)  Time: 0.681s,  188.06/s  (1.138s,  112.51/s)  LR: 2.479e-04  Data: 0.020 (0.468)
Train: 18 [1750/10009 ( 17%)]  Loss:  4.320088 (4.0780)  Time: 0.696s,  183.93/s  (1.137s,  112.55/s)  LR: 2.479e-04  Data: 0.018 (0.468)
Train: 18 [1800/10009 ( 18%)]  Loss:  4.254841 (4.0767)  Time: 0.677s,  189.09/s  (1.137s,  112.56/s)  LR: 2.479e-04  Data: 0.018 (0.468)
Train: 18 [1850/10009 ( 18%)]  Loss:  4.245453 (4.0745)  Time: 0.680s,  188.37/s  (1.135s,  112.74/s)  LR: 2.479e-04  Data: 0.018 (0.466)
Train: 18 [1900/10009 ( 19%)]  Loss:  4.715598 (4.0712)  Time: 0.687s,  186.19/s  (1.134s,  112.91/s)  LR: 2.479e-04  Data: 0.021 (0.464)
